"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","langspan0913","langspan0913_moe"
"1","55001","050",55,"001",NA,NA,NA,NA,NA,NA,0.0272558745428128,0.00337755391125667
"2","55003","050",55,"003",NA,NA,NA,NA,NA,NA,0.0115269956939384,0.00385078515179872
"3","55005","050",55,"005",NA,NA,NA,NA,NA,NA,0.0204029525091686,0.0030840280503772
"4","55007","050",55,"007",NA,NA,NA,NA,NA,NA,0.00936719400499584,0.00241458623428484
"5","55009","050",55,"009",NA,NA,NA,NA,NA,NA,0.0593666980889536,0.00222539319835234
"6","55011","050",55,"011",NA,NA,NA,NA,NA,NA,0.0164744645799012,0.00283937149654659
"7","55013","050",55,"013",NA,NA,NA,NA,NA,NA,0.00972392220862233,0.00297179085032676
"8","55015","050",55,"015",NA,NA,NA,NA,NA,NA,0.0354016897248224,0.00383947905014575
"9","55017","050",55,"017",NA,NA,NA,NA,NA,NA,0.00969486682314522,0.00224517442364546
"10","55019","050",55,"019",NA,NA,NA,NA,NA,NA,0.0331905781584582,0.002012461328126
"11","55021","050",55,"021",NA,NA,NA,NA,NA,NA,0.0214946966005772,0.00315441675029825
"12","55023","050",55,"023",NA,NA,NA,NA,NA,NA,0.0107074569789675,0.00334998708914523
"13","55025","050",55,"025",NA,NA,NA,NA,NA,NA,0.0508410621867188,0.0018769630646939
"14","55027","050",55,"027",NA,NA,NA,NA,NA,NA,0.0286004056795132,0.0029500871702172
"15","55029","050",55,"029",NA,NA,NA,NA,NA,NA,0.0227878514847768,0.00362284128094289
"16","55031","050",55,"031",NA,NA,NA,NA,NA,NA,0.0115754696505655,0.00322873521855164
"17","55033","050",55,"033",NA,NA,NA,NA,NA,NA,0.013870159892121,0.00291164806140674
"18","55035","050",55,"035",NA,NA,NA,NA,NA,NA,0.0134134666524838,0.00279281547914102
"19","55037","050",55,"037",NA,NA,NA,NA,NA,NA,0.0148444863336475,0.0081977354412366
"20","55039","050",55,"039",NA,NA,NA,NA,NA,NA,0.0366312977975315,0.00343542059042129
"21","55041","050",55,"041",NA,NA,NA,NA,NA,NA,0.0104819414378489,0.00360286337833285
"22","55043","050",55,"043",NA,NA,NA,NA,NA,NA,0.00881249092831816,0.00186719127422581
"23","55045","050",55,"045",NA,NA,NA,NA,NA,NA,0.0223927973682692,0.00313910033764772
"24","55047","050",55,"047",NA,NA,NA,NA,NA,NA,0.0403440621531631,0.00821100568866409
"25","55049","050",55,"049",NA,NA,NA,NA,NA,NA,0.0167448998014082,0.00420734257078974
"26","55051","050",55,"051",NA,NA,NA,NA,NA,NA,0.00890674118057981,0.00370469993256699
"27","55053","050",55,"053",NA,NA,NA,NA,NA,NA,0.0135577372604021,0.00310891677043812
"28","55055","050",55,"055",NA,NA,NA,NA,NA,NA,0.0514958995646451,0.00368524504416599
"29","55057","050",55,"057",NA,NA,NA,NA,NA,NA,0.0164747915839619,0.00331760486813426
"30","55059","050",55,"059",NA,NA,NA,NA,NA,NA,0.0783797967386018,0.00487800705795688
"31","55061","050",55,"061",NA,NA,NA,NA,NA,NA,0.0236406619385343,0.00381002054595491
"32","55063","050",55,"063",NA,NA,NA,NA,NA,NA,0.0140372179448262,0.00224698050787267
"33","55065","050",55,"065",NA,NA,NA,NA,NA,NA,0.0316765060623373,0.00437817222490297
"34","55067","050",55,"067",NA,NA,NA,NA,NA,NA,0.0150467886005955,0.00599936686665265
"35","55069","050",55,"069",NA,NA,NA,NA,NA,NA,0.00754827598842109,0.0021400104460266
"36","55071","050",55,"071",NA,NA,NA,NA,NA,NA,0.0269466932613712,0.00289588501275495
"37","55073","050",55,"073",NA,NA,NA,NA,NA,NA,0.0204401016841436,0.00205164835865833
