"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","drive0913","drive0913_moe"
"1","55","040","55",NA,NA,NA,NA,NA,NA,NA,0.890565828256673,0.00171581159529976
"2","55001","050","55","001",NA,NA,NA,NA,NA,NA,0.923349986852485,0.0177199946170544
"3","55003","050","55","003",NA,NA,NA,NA,NA,NA,0.851170568561873,0.0212919420434871
"4","55005","050","55","005",NA,NA,NA,NA,NA,NA,0.882621666977438,0.0158034500382012
"5","55007","050","55","007",NA,NA,NA,NA,NA,NA,0.850689707442777,0.0199555432686436
"6","55009","050","55","009",NA,NA,NA,NA,NA,NA,0.907179225256572,0.00739566006092153
"7","55011","050","55","011",NA,NA,NA,NA,NA,NA,0.853780523683436,0.0224986529967405
"8","55013","050","55","013",NA,NA,NA,NA,NA,NA,0.898215147129764,0.0284098113925061
"9","55015","050","55","015",NA,NA,NA,NA,NA,NA,0.934046555372678,0.019238688683072
"10","55017","050","55","017",NA,NA,NA,NA,NA,NA,0.888694951664876,0.0134429924135314
"11","55019","050","55","019",NA,NA,NA,NA,NA,NA,0.822777492291881,0.0157376558179908
"12","55021","050","55","021",NA,NA,NA,NA,NA,NA,0.921931533537434,0.0142819378313143
"13","55023","050","55","023",NA,NA,NA,NA,NA,NA,0.880245923549853,0.0139527048925425
"14","55025","050","55","025",NA,NA,NA,NA,NA,NA,0.812117364622783,0.00790200326330596
"15","55027","050","55","027",NA,NA,NA,NA,NA,NA,0.914361375135953,0.0129668588433135
"16","55029","050","55","029",NA,NA,NA,NA,NA,NA,0.888321540593771,0.0230764054161116
"17","55031","050","55","031",NA,NA,NA,NA,NA,NA,0.896819094773226,0.0193678043137365
"18","55033","050","55","033",NA,NA,NA,NA,NA,NA,0.866231118524696,0.0132092875728649
"19","55035","050","55","035",NA,NA,NA,NA,NA,NA,0.884604447477677,0.0154631347219997
"20","55037","050","55","037",NA,NA,NA,NA,NA,NA,0.883583690987124,0.0372759384993992
"21","55039","050","55","039",NA,NA,NA,NA,NA,NA,0.913858905165767,0.0136776769737197
"22","55041","050","55","041",NA,NA,NA,NA,NA,NA,0.904275862068965,0.0278082075124667
"23","55043","050","55","043",NA,NA,NA,NA,NA,NA,0.851202721949676,0.0161428493834862
"24","55045","050","55","045",NA,NA,NA,NA,NA,NA,0.88437532508062,0.014708731032239
"25","55047","050","55","047",NA,NA,NA,NA,NA,NA,0.87600839871809,0.0234182429492383
"26","55049","050","55","049",NA,NA,NA,NA,NA,NA,0.867243051066581,0.0270859445771374
"27","55051","050","55","051",NA,NA,NA,NA,NA,NA,0.902237926972909,0.0378900660544638
"28","55053","050","55","053",NA,NA,NA,NA,NA,NA,0.901489882143651,0.017904727907547
"29","55055","050","55","055",NA,NA,NA,NA,NA,NA,0.910021704255921,0.0152236316348242
"30","55057","050","55","057",NA,NA,NA,NA,NA,NA,0.910460321467643,0.0174190283654375
"31","55059","050","55","059",NA,NA,NA,NA,NA,NA,0.933233502013839,0.0111673823903355
"32","55061","050","55","061",NA,NA,NA,NA,NA,NA,0.886609178313014,0.00571392485611022
"33","55063","050","55","063",NA,NA,NA,NA,NA,NA,0.878614621607817,0.0114970399093927
"34","55065","050","55","065",NA,NA,NA,NA,NA,NA,0.858474082702388,0.0218699414395107
"35","55067","050","55","067",NA,NA,NA,NA,NA,NA,0.894144889182931,0.0168136094506552
"36","55069","050","55","069",NA,NA,NA,NA,NA,NA,0.931884480746791,0.0168159880234665
"37","55071","050","55","071",NA,NA,NA,NA,NA,NA,0.917844917398422,0.00881225167537845
"38","55073","050","55","073",NA,NA,NA,NA,NA,NA,0.90879650660141,0.00989589493542556
"39","55075","050","55","075",NA,NA,NA,NA,NA,NA,0.910546810727801,0.0152177067265833
"40","55077","050","55","077",NA,NA,NA,NA,NA,NA,0.909998509909104,0.0214465926497454
"41","55078","050","55","078",NA,NA,NA,NA,NA,NA,0.924079754601227,0.0444345173533514
"42","55079","050","55","079",NA,NA,NA,NA,NA,NA,0.861016727805283,0.0054425873912006
"43","55081","050","55","081",NA,NA,NA,NA,NA,NA,0.895518856764302,0.0157181572665366
"44","55083","050","55","083",NA,NA,NA,NA,NA,NA,0.9152955185105,0.015671263549692
"45","55085","050","55","085",NA,NA,NA,NA,NA,NA,0.915643515973368,0.0209230266398321
"46","55087","050","55","087",NA,NA,NA,NA,NA,NA,0.911979014864471,0.00635811420920008
"47","55089","050","55","089",NA,NA,NA,NA,NA,NA,0.908311028755748,0.0156552773065362
"48","55091","050","55","091",NA,NA,NA,NA,NA,NA,0.843586206896552,0.0279283493916329
"49","55093","050","55","093",NA,NA,NA,NA,NA,NA,0.869400630914826,0.0155887571237144
"50","55095","050","55","095",NA,NA,NA,NA,NA,NA,0.900115085834852,0.012543383763052
"51","55097","050","55","097",NA,NA,NA,NA,NA,NA,0.877954668877011,0.0148042756175862
"52","55099","050","55","099",NA,NA,NA,NA,NA,NA,0.878912811116201,0.02486395016019
"53","55101","050","55","101",NA,NA,NA,NA,NA,NA,0.927105513523309,0.0105023838053277
"54","55103","050","55","103",NA,NA,NA,NA,NA,NA,0.87872315177406,0.0231329252138546
"55","55105","050","55","105",NA,NA,NA,NA,NA,NA,0.916211816527818,0.0136587469315068
"56","55107","050","55","107",NA,NA,NA,NA,NA,NA,0.877702382830993,0.0205550887005411
"57","55109","050","55","109",NA,NA,NA,NA,NA,NA,0.914323384328613,0.0138526868441447
"58","55111","050","55","111",NA,NA,NA,NA,NA,NA,0.905369649805447,0.0127904692159929
"59","55113","050","55","113",NA,NA,NA,NA,NA,NA,0.887782676717394,0.0259942209059416
"60","55115","050","55","115",NA,NA,NA,NA,NA,NA,0.892942310619514,0.0134175168610178
"61","55117","050","55","117",NA,NA,NA,NA,NA,NA,0.927085686482354,0.0134742569459556
"62","55119","050","55","119",NA,NA,NA,NA,NA,NA,0.862390907245788,0.0163203561568537
"63","55121","050","55","121",NA,NA,NA,NA,NA,NA,0.894398907103825,0.0154502016818551
"64","55123","050","55","123",NA,NA,NA,NA,NA,NA,0.84337899543379,0.0184160158829311
"65","55125","050","55","125",NA,NA,NA,NA,NA,NA,0.862042261312092,0.0193443756935003
"66","55127","050","55","127",NA,NA,NA,NA,NA,NA,0.899297515796083,0.0114876227877863
"67","55129","050","55","129",NA,NA,NA,NA,NA,NA,0.878224355128974,0.0211631999251121
"68","55131","050","55","131",NA,NA,NA,NA,NA,NA,0.934867938634959,0.0110047830220922
